name,port,header,protocol,status,fill,stroke,refs,image
Mobile Call Log,8188,,http,Started,#d5e8d93,#82b455,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
mRedbook,8102,,http,Started,#d5e8d94,#82b456,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
MRS Institutional Plan,8144,,http,Started,#d5e8d95,#82b457,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
Mumphones,8302,,http,Started,#d5e8d96,#82b458,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
mumvoicemail,8301,,http,Started,#d5e8d97,#82b459,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
MyCallPilot Redirect,80,mycallpilot,http,Stopped,#d5e8d98,#82b460,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBA Corporate Store,80,nbacorporatestore,http,Started,#d5e8d99,#82b461,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBA Password Management,80,passwordmgmt,http,Started,#d5e8d100,#82b462,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBA Rosters,8098,,http,Started,#d5e8d101,#82b463,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBA Shuttle,8140,,http,Started,#d5e8d102,#82b464,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBA Team Applications - LandingPortal,80,nbateamapps,http,Started,#d5e8d103,#82b465,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBA Team Applications - LandingPortal - SecurityRep,80,nbateamappssecrep,http,Started,#d5e8d104,#82b466,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBA Team Apps_LandingPage TEST,9111,,http,Started,#d5e8d105,#82b467,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBA2008Draft,8091,,http,Stopped,#d5e8d106,#82b468,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBA911,8170,,http,Started,#d5e8d107,#82b469,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBAACD_Redirect,8445,,http,Started,#d5e8d108,#82b470,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBAACD-Reports_Redirect,8446,,http,Started,#d5e8d109,#82b471,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBABroadcastManual,8126,,http,Started,#d5e8d110,#82b472,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBACollectibles,8146,,http,Started,#d5e8d111,#82b473,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBACompliance2014,8215,,http,Started,#d5e8d112,#82b474,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBAConnections,8136,,http,Started,#d5e8d113,#82b475,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBADMWebServices,555,,http,Started,#d5e8d114,#82b476,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBADOCs_OPS,8244,,http,Started,#d5e8d115,#82b477,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
nbadocs-it,8472,,http,Started,#d5e8d116,#82b478,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
nbadocs-opstech,8241,,http,Started,#d5e8d117,#82b479,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBAFinanceReports,80,NBAFinanceReports,http,Started,#d5e8d118,#82b480,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBAFinanceSelfservice,80,nbafinanceselfservice,http,Started,#d5e8d119,#82b481,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBAHRSelfService,80,nbahrselfservice,http,Started,#d5e8d120,#82b482,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBAJobs,80,nbajobs,http,Started,#d5e8d121,#82b483,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBALogo,80,nbalogo,http,Started,#d5e8d122,#82b484,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBAOfficialsAdmin,8166,,http,Started,#d5e8d123,#82b485,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBAPact,8147,,http,Started,#d5e8d124,#82b486,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBAPrintingV2,8163,,http,Started,#d5e8d125,#82b487,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBARC_Forwarder,8226,,http,Started,#d5e8d126,#82b488,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBARecordCenter,8240,,http,Started,#d5e8d127,#82b489,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBARefereePerformanceSVC,8077,,http,Started,#d5e8d128,#82b490,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBARefereePerformanceUI,8078,,http,Started,#d5e8d129,#82b491,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
NBASearch,8093,,http,Started,#d5e8d130,#82b492,,https://cdn3.iconfinder.com/data/icons/user-avatars-1/512/users-2-128.png
